,district_id,district_name,lat,lon,samples
0,1,BAGALKOT,16.1612862,75.6621002,1282
1,2,BELAGAVI,15.8551087,74.5078497,2276
2,3,BELLARY,15.1451521,76.9268191,1431
3,4,BENGALURU RURAL,13.2969937,77.80018299999999,2343
4,5,BENGALURU URBAN,12.9670125,77.5874312,37136
5,6,BIDAR,17.9140428,77.51562890000001,563
6,7,CHAMARAJANAGARA,11.926391699999998,76.9375248,798
7,8,CHIKKABALLAPUR,13.4314103,77.727101,1208
8,9,CHIKKAMAGALUR,13.312825699999998,75.7751685,1363
9,10,CHITRADURGA,14.223852800000001,76.403139,1153
10,11,DAKSHIN KANNADA,12.8849145,74.8386319,2297
11,12,DAVANAGERE,14.466892600000001,75.9198377,1448
12,13,DHARWAD,15.4603471,75.0086983,1737
13,14,GADAG,15.434588699999999,75.63651329999999,832
14,15,HASSAN,13.003055499999999,76.100679,2456
15,16,HAVERI,14.788485000000001,75.4007901,836
16,17,KALABURGI,17.3331819,76.83520490000001,1503
17,18,KODAGU,12.4192571,75.73927540000001,609
18,19,KOLAR,13.1389354,78.13503490000001,1055
19,20,KOPPAL,15.351483600000002,76.1521566,1120
20,21,MANDYA,12.527149699999999,76.8941433,2072
21,22,MYSURU,12.303581699999999,76.65217690000001,4168
22,23,RAICHUR,16.2033934,77.34771090000001,896
23,24,RAMANAGARA,12.7233008,77.28342909999999,794
24,25,SHIMOGA,13.931073699999999,75.57606190000001,2807
25,26,TUMKUR,13.336801600000001,77.1017528,2006
26,27,UDUPI,13.338606400000002,74.74855550000001,1644
27,28,UTTARA KANNADA ,14.426233900000001,74.40775129999999,1339
28,29,VIJAYAPURA,16.8291264,75.7136624,1077
29,30,YADGIRI,16.7675333,77.13209029999999,830
